condition,Kinase,n_peptides,n_pairs,mean_diff,statistic,effect_size,p_value,p_adjusted,source_file
Neg1h_NegCTL,NEK,15,45,-0.10408238461578648,354,0.34202898550724636,0.06578718956745037,0.12676068233728244,hpv_neg_25.13-signal_Neg1h_NegCTL-STK.csv
Neg1h_NegCTL,MELK,23,69,-0.08894286926273548,910,0.37681159420289856,0.0757746167534658,0.1425284457981857,hpv_neg_25.13-signal_Neg1h_NegCTL-STK.csv
Neg1h_NegCTL,PLK,21,63,-0.11898593878085649,758,0.3759920634920635,0.08761723735034016,0.1609712035041133,hpv_neg_25.13-signal_Neg1h_NegCTL-STK.csv
Neg1h_NegCTL,IRAK,8,24,-0.13430278188766134,96,0.32,0.12637072350224732,0.2268928899244895,hpv_neg_25.13-signal_Neg1h_NegCTL-STK.csv
Neg1h_NegCTL,MST,16,48,0.05689809135641247,731,0.6215986394557823,0.14386245853163104,0.2525585383110856,hpv_neg_25.13-signal_Neg1h_NegCTL-STK.csv
Neg1h_NegCTL,MLK,13,39,-0.09402362480176568,291,0.3730769230769231,0.16926563379954124,0.2866897481998441,hpv_neg_25.13-signal_Neg1h_NegCTL-STK.csv
Neg1h_NegCTL,NMO,1,3,0.26785156037171287,6,1,0.18144920772142026,0.2866897481998441,hpv_neg_25.13-signal_Neg1h_NegCTL-STK.csv
Neg1h_NegCTL,SLK,1,3,0.39718787744055506,6,1,0.18144920772142026,0.2866897481998441,hpv_neg_25.13-signal_Neg1h_NegCTL-STK.csv
Neg1h_NegCTL,PASK,1,3,-0.5376010556589348,0,0,0.1814492077214203,0.2866897481998441,hpv_neg_25.13-signal_Neg1h_NegCTL-STK.csv
Neg1h_NegCTL,ATM,1,3,-0.4383131696895042,0,0,0.1814492077214203,0.2866897481998441,hpv_neg_25.13-signal_Neg1h_NegCTL-STK.csv
Neg1h_NegCTL,P38,28,84,-0.019403928253792894,2076,0.5815126050420169,0.19512529882455443,0.3022529138654863,hpv_neg_25.13-signal_Neg1h_NegCTL-STK.csv
Neg1h_NegCTL,HAL,2,6,-0.2870238606007556,5,0.23809523809523808,0.2945073936801101,0.4474246942447826,hpv_neg_25.13-signal_Neg1h_NegCTL-STK.csv
Neg1h_NegCTL,STKR,4,12,-0.1581561125408666,26,0.3333333333333333,0.32679956766896595,0.487116336714119,hpv_neg_25.13-signal_Neg1h_NegCTL-STK.csv
Neg1h_NegCTL,FRAY,11,33,-0.0725154844009375,229,0.40819964349376114,0.3621587727888085,0.5259318464833955,hpv_neg_25.13-signal_Neg1h_NegCTL-STK.csv
Neg1h_NegCTL,ATR,7,21,-0.07542877193738688,89,0.3852813852813853,0.36615508299476907,0.5259318464833955,hpv_neg_25.13-signal_Neg1h_NegCTL-STK.csv
Neg1h_NegCTL,PKCH,13,39,-0.030842721955487727,331,0.42435897435897435,0.4142900485311383,0.5844448898921416,hpv_neg_25.13-signal_Neg1h_NegCTL-STK.csv
Neg1h_NegCTL,PKN,1,3,0.11369285281601282,5,0.8333333333333334,0.4226780741706355,0.5858169799908809,hpv_neg_25.13-signal_Neg1h_NegCTL-STK.csv
